"gender","viscera"
"F",0.175
"F",0.3825
"F",0.13
"F",0.2345
"F",0.403
"F",0.3965
"F",0.355
"F",0.25
"F",0.2335
"F",0.305
"F",0.125
"F",0.215
"F",0.4215
"F",0.24
"F",0.2745
"F",0.2875
"F",0.3065
"F",0.162
"F",0.2765
"F",0.317
"F",0.4375
"F",0.275
"F",0.275
"F",0.13
"F",0.575
"F",0.29
"F",0.185
"F",0.2
"F",0.155
"F",0.22
"F",0.33
"F",0.375
"F",0.205
"F",0.513
"F",0.3185
"F",0.246
"F",0.42
"F",0.315
"F",0.44
"F",0.31
"F",0.42
"F",0.1515
"F",0.095
"F",0.225
"F",0.39
"F",0.265
"F",0.2
"F",0.1
"F",0.2
"F",0.3685
"M",0.04
"M",0.255
"M",0.371
"M",0.35
"M",0.3555
"M",0.2365
"M",0.335
"M",0.185
"M",0.31
"M",0.178
"M",0.4075
"M",0.4405
"M",0.255
"M",0.31
"M",0.335
"M",0.21
"M",0.24
"M",0.287
"M",0.295
"M",0.125
"M",0.317
"M",0.28
"M",0.341
"M",0.345
"M",0.273
"M",0.279
"M",0.1225
"M",0.29
"M",0.31
"M",0.3445
"M",0.4865
"M",0.2195
"M",0.1775
"M",0.325
"M",0.355
"M",0.295
"M",0.401
"M",0.52
"M",0.2525
"M",0.4755
"M",0.091
"M",0.638
"M",0.305
"M",0.141
"M",0.335
"M",0.355
"M",0.265
"M",0.335
"M",0.3845
"M",0.33
