"type","org"
"Ivermect",3.03
"Ivermect",2.81
"Ivermect",3.06
"Ivermect",3.11
"Ivermect",2.94
"Ivermect",3.06
"Alfacyp",3
"Alfacyp",3.02
"Alfacyp",2.87
"Alfacyp",2.96
"Alfacyp",2.77
"Alfacyp",2.75
"Enroflox",2.74
"Enroflox",2.88
"Enroflox",2.42
"Enroflox",2.73
"Enroflox",2.83
"Enroflox",2.66
"Spiramyc",2.8
"Spiramyc",2.85
"Spiramyc",2.84
"Spiramyc",2.93
"Fenbenda",2.74
"Fenbenda",2.88
"Fenbenda",2.85
"Fenbenda",3.02
"Fenbenda",2.85
"Fenbenda",2.66
"Control",2.43
"Control",2.63
"Control",2.56
"Control",2.76
"Control",2.7
"Control",2.54
