Date,Day,Venue,GF,GA,Opponent
2022-08-06,Sat,Away,2,2,Fulham
2022-08-15,Mon,Home,1,1,Crystal Palace
2022-08-22,Mon,Away,1,2,Manchester Utd
2022-08-27,Sat,Home,9,0,Bournemouth
2022-08-31,Wed,Home,2,1,Newcastle Utd
2022-09-03,Sat,Away,0,0,Everton
2022-10-01,Sat,Home,3,3,Brighton
2022-10-09,Sun,Away,2,3,Arsenal
2022-10-16,Sun,Home,1,0,Manchester City
2022-10-19,Wed,Home,1,0,West Ham
2022-10-22,Sat,Away,0,1,Nott'ham Forest
2022-10-29,Sat,Home,1,2,Leeds United
2022-11-06,Sun,Away,2,1,Tottenham
2022-11-12,Sat,Home,3,1,Southampton
2022-12-26,Mon,Away,3,1,Aston Villa
2022-12-30,Fri,Home,2,1,Leicester City
2023-01-02,Mon,Away,1,3,Brentford
2023-01-14,Sat,Away,0,3,Brighton
2023-01-21,Sat,Home,0,0,Chelsea
2023-02-04,Sat,Away,0,3,Wolves
2023-02-13,Mon,Home,2,0,Everton
2023-02-18,Sat,Away,2,0,Newcastle Utd
2023-02-25,Sat,Away,0,0,Crystal Palace
2023-03-01,Wed,Home,2,0,Wolves
2023-03-05,Sun,Home,7,0,Manchester Utd
2023-03-11,Sat,Away,0,1,Bournemouth
2023-04-01,Sat,Away,1,4,Manchester City
2023-04-04,Tue,Away,0,0,Chelsea
2023-04-09,Sun,Home,2,2,Arsenal
2023-04-17,Mon,Away,6,1,Leeds United
2023-04-22,Sat,Home,3,2,Nott'ham Forest
2023-04-26,Wed,Away,2,1,West Ham
2023-04-30,Sun,Home,4,3,Tottenham
2023-05-03,Wed,Home,1,0,Fulham
2023-05-06,Sat,Home,1,0,Brentford
2023-05-15,Mon,Away,3,0,Leicester City
2023-05-20,Sat,Home,1,1,Aston Villa
2023-05-28,Sun,Away,4,4,Southampton
